line_id,summary,question,answer,is_hallucination
1050,"Расстрел в Братиславе (словацк. Streľba v Devínskej Novej Vsi) — трагическое событие, произошедшее утром 30 августа 2010 года в Братиславе. В результате стрельбы из автоматического оружия, устроенной 48-летним Любомиром Гарманом в районе Девинска-Нова-Вес, погибли 7 человек, 17 было ранено.",Что случилось с людьми во время этого расстрела?,"Во время этого расстрела люди получили ранения, но никто не погиб.",1
1051,"Эжен-Анри Гравлотт (фр. Eugène-Henri Gravelotte; 6 февраля 1876 — 28 августа 1939) — французский фехтовальщик, чемпион летних Олимпийских игр 1896 года и первый чемпион Игр от Франции. На Играх Гравлот участвовал в соревнованиях на рапирах. 7 апреля он обыграл всех своих соперников в группе и смог пройти в финал. Там он соревновался со своим соотечественником Анри Калло и обыграл его с минимальным преимуществом.",Когда состоялся первый чемпионат мира по фехтованию?,1896 года,1
1052,"Альбе́рта (лат. Alberta) — небольшой род цветковых растений семейства Мареновые. Два вида произрастают на Мадагаскаре, один вид — на материке, в тёплых и влажных районах Южной Африки.",Какого цвета бывают альберты?,Цветковых растений,1
1053,"Эжезип Моро (фр. Hégésippe Moreau; 1810—1838) — псевдоним Пьера Жака Руйльо, одного из ранних французских рабочих-поэтов времён Июльской монархии. Жил и умер в крайней бедности. Его стихи полны идиллической грации и свежести, с глубоким меланхолическим оттенком. Единственный его сборник стихотворений, «Myosotis», дает, однако, мало законченного. Сент-Бев справедливо отмечает в ямбах Моро подражание Шенье, в сатире — подражание Бартелеми, в песнях — Беранже. Пять прозаических повестей Моро — образцы изящной прозы с трогательными и наивными сюжетами в духе Шарля Нодье («Gui de chêne», «Souris blanche», «Petits souliers», «Thérèse Sureau» и «Neveu de la fruitière»).",Кому подражал Моро в своих произведениях?,Эжезип Моро в своих произведениях подражал творчеству Льюиса Кэрролла.,0
1054,"== Турниры == Ниже приведён список международных турниров, прошедших в 2011 году, ход и результаты которых удостоились освещения со стороны профессиональных сайтов и изданий.",Кто удостоился освещения хода и результатов некоторых турниров?,профессиональные сайты и издания,0
1055,"Иску́сственный интелле́кт (ИИ; англ. artificial intelligence, AI) — свойство интеллектуальных систем выполнять творческие функции, которые традиционно считаются прерогативой человека (не следует путать с искусственным сознанием, ИС); наука и технология создания интеллектуальных машин, особенно интеллектуальных компьютерных программ. ИИ связан со сходной задачей использования компьютеров для понимания человеческого интеллекта, но не обязательно ограничивается биологически правдоподобными методами. Существующие на сегодня интеллектуальные системы имеют достаточно узкие области применения. Например, программы, способные обыграть человека в шахматы, не могут отвечать на вопросы и т. д..",Что не может делать программа?,Отвечать на вопросы.,1
1056,"Замок Адэр — исторический замок в деревне Адэр, графство Лимерик, Ирландия. Также известен как замок Десмонд в Адэре (не путать с Десмондом в Кинсейле). Согласно преданию, основан в конце XII в. О'Донованами, тогдашними правителями региона. Позже перешёл во владение килдарской ветви Фицджеральдов одновременно с замком Крум и пришёл в запустение. Восстановительные работы ведутся в замке с 1996 г., в настоящее время летом разрешены экскурсии в сопровождении экскурсовода.   == Примечания ==",В каком году были проведены восстановительные работы?,с 1996,1
1057,"Байоннская конституция — конституция Испании, принятая Байоннскими кортесами 7 июля 1808 года под давлением Наполеона I. Согласно Байоннской конституции, Испания являлась конституционной монархией с тремя законодательными органами (сенатом, государственным советом, кортесами). Единственно допустимой религией объявлялся католицизм. Король назначал 80 из 172 депутатов кортесов, при этом права кортесов не были точно определены. Байоннская конституция ограничивала майорат, отменяла внутренние таможни и устанавливала единую систему налогов. Феодальное судопроизводство ликвидировалось, вводилось единое гражданское и уголовное законодательство для Испании и её колоний. Декларировалась свобода развития сельского хозяйства и промышленности в колониях. Байоннская конституция имела цель привлечь испанцев на сторону Наполеона и замаскировать его фактическое господство в Испании.   == Примечания ==",Сколько палат существовало в Испании согласно конституции?,"Согласно Байоннской конституции, в Испании существовало две палаты.",0
1058,"«Ротонда» — архитектурный проект Александра Бродского, осуществлённый в рамках фестиваля «Архстояние» в 2009 году на территории нынешнего Парка «Никола-Ленивец» и в Пермском музее современного искусства PERMM. Бродский, вопреки обыкновению, отсутствовал на строительстве «Ротонды» в Никола-Ленивце, поскольку был приглашён в это время Маратом Гельманом в Пермь.В 2010 г. объект удостоен премии «Архивуд» в номинации «Лучший арт-объект, сделанный из дерева».",В каком году была возведена ротонда?,в 2009,0
1059,"НаноВижн (также иногда называется НаноВижн Груп) — российская офтальмологическая компания, основанная Дмитрием Дементьевым. Компания специализируется на искусственных хрусталиках глаза (интраокулярных линзах). Кроме этого, компания также занимается производством офтальмологических лазеров и созданием глазного банка «АйЛаб», созданного для производства и хранения материала, необходимого для восстановления роговицы глаза, с последующим использованием материала для пересадок роговицы нуждающимся больным.",Какую продукцию производит компания?,Компания «НаноВижн» производит автомобили.,1
