line_id,summary,question,answer,is_hallucination
0,"Херманус Питер (Дик) Логгере (нидерл. Hermanus Pieter (Dick) Loggere, 6 мая 1921, Амстердам, Нидерланды — 30 декабря 2014, Хилверсюм, Нидерланды) — нидерландский хоккеист (хоккей на траве), полузащитник. Бронзовый призёр летних Олимпийских игр 1948 года.",В каком городе проходил чемпионат мира по хоккею с шайбой в 1936 году?,В Хилверсюме.,1
1,"Ходуткинские горячие источники (Худутские горячие источники, Термальные источники вулкана Ходутка, Ходуткинское геотермальное месторождение) — пресные геотермальные источники на юге полуострова Камчатка в Елизовском районе Камчатского края. Относятся к Южно-Камчатской геотермальной провинции.",Как называется район в который входят источники?,Елизовским районом,0
2,"Чёрная вдова (лат. Latrodectus mactans) — вид пауков, распространённый в Северной и Южной Америке. Опасен для человека.",Для кого опасны пауки-бокоходы?,Для рыб.,1
3,"Рысь — река в России, протекает по территориям Муезерского городского поселения и Ледмозерского сельского поселения Муезерского района Карелии. Устье реки находится в 6,6 км по правому берегу реки Кайдодеги. Длина реки — 10 км. Рысь течёт преимущественно в северном направлении по заболоченной территории. Впадает в реку Кайдодеги возле озера Кайдодеги. Населённые пункты на реке отсутствуют.",Какова длина реки Рысь?,5 км.,1
4,"И́се (яп. 伊勢市), ранее Удзиямада — город в Японии в префектуре Миэ. Исе входит в состав Национального парка Исе-Сима. Население — 98,819 человек (2003); город занимает площадь 178.97 км². Крупный центр туризма и паломничества.  Статус большого города Удзиямада получил 1 сентября 1906 года. После объединения с несколькими соседними городами 1 января 1955 года был образован город Исе.",Что такое Исе?,"Исе — это небольшой город в Японии, который не входит в состав Национального парка Исе-Сима. Население — 98,819 человек (2003); город занимает площадь 178.97 км².",1
5,"«Муле́н Ру́ж» (фр. Moulin Rouge, буквально «Красная мельница») — классическое кабаре в Париже, построенное в 1889 году, одна из достопримечательностей французской столицы. Расположено в 18 муниципальном округе, на бульваре Клиши, в квартале красных фонарей около площади Пигаль. Ближайшая станция метро — линия 2, станция «Бланш».",Как точно переводится название кабаре Мулен Руж?,Красная мельница,0
6,"«Дуэль» (в советском прокате шёл под названием «Комиссар полиции и Малыш», рум. Duelul) — первый по хронологии и предпоследний по времени съёмок фильм из цикла приключений комиссара Миклована. Играющему главную роль 29-летнего комиссара полиции, румынскому режиссёру Серджиу Николаеску уже было за пятьдесят.","Как называлась кинолента, вышедшая на экраны в 1961 году?",Дуэль,0
7,"Катастрофа A310 в Иркутске — крупная авиационная катастрофа, произошедшая в воскресенье 9 июля 2006 года. Авиалайнер Airbus А310-324 авиакомпании «Сибирь» совершал внутренний рейс SBI778 по маршруту Москва—Иркутск, но после посадки в пункте назначения выкатился за пределы взлётной полосы аэропорта Иркутска и врезался в гаражный комплекс. Из находившихся на его борту 203 человек (195 пассажиров и 8 членов экипажа) погибли 125. Расследование Межгосударственного авиационного комитета (МАК) показало, что самолёт был сброшен с ВПП двигателем №1 (левый), внезапно перешедшим во взлётный режим в момент включения реверса двигателя №2 (правый).",Сколько человек погибло на борту?,98 человек.,1
8,"Бомбора — океанская волна у рифа. Термин из языков австралийских аборигенов, означающий участок моря, на котором подводный рельеф создает сильные волны.  Подводное препятствие (риф, бар, скала, мелководье, мыс), расположенное на некотором расстоянии от береговой линии и пляжа для серфинга, которое «ломает» волну. В море такая волна может быть почти незаметной, но, подойдя к мелководью, она резко поднимается и углубляется, обрушиваясь на берег. Размер и форма таких волн делает их привлекательными для серферов. Бомбора может быть опасной, так как даже в хорошую погоду скрывает подводное препятствие, на которое может наткнуться неопытный серфингист. Термин «бомбора» стал широко известен в 2009 году, когда на телевизионной студии ABC TV вышел документальный фильм «Бомбора — история австралийского серфинга», который получил номинацию на 2010 Logie Awards in Australia. Фильм исследовал исторические аспекты взаимосвязи между культурой серфинга и австралийской культурной идентичностью.   == Примечания ==",Что может вызвать подводная скала?,Подводная скала может вызвать цунами.,1
9,"Катастрофа Ан-24 в Донецке — авиационная катастрофа самолёта украинского авиаперевозчика «Южные авиалинии», осуществлявшего рейс Одесса — Донецк 13 февраля 2013 года при посадке в Донецке. Из 52 человек на борту (считая экипаж) пятеро погибли, 26 обратились за медицинской помощью, из них девять госпитализировали. Самолёт выполнял внутренний чартерный рейс по доставке футбольных болельщиков из Одессы в Донецк на матч Лиги Чемпионов между командами «Шахтёр» (Донецк) — «Боруссия» (Дортмунд). При попытке совершить посадку в Международном аэропорту Донецка самолёт промахнулся мимо взлётно-посадочной полосы. После приземления самолёт загорелся. Большинство пассажиров были эвакуированы. Очевидцы сообщили, что самолёт пытался приземлиться в густом тумане и совершил посадку на грунт между взлётно-посадочной полосой и рулёжной дорожкой.  Первоначально сообщалось, что все погибшие были жителями Одессы и Одесской области. Причинами катастрофы была потеря скорости самолёта при заходе на посадку из-за ошибки неподготовленного и недопущенного к полёту в данных метеоусловиях экипажа.. В 2014 году то, что осталось от самолёта, было уничтожено при боевых действиях в донецком аэропорту, из-за чего начавшийся судебный процесс по обвинению в катастрофе командира экипажа Сергея Малашенко затянулся на неопределённый срок.",Что стало с самолётом после приземления?,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",1
10,"Пауэр Гёрл (англ. Power Girl, настоящее имя Кара Зор-Л, также известная как Карен Старр) — персонаж комиксов издательства DC Comics, первое появление которой состоялось в «All Star Comics» № 58 (январь/февраль, 1976 год). Пауэр Гёрл — это аналог Супергёрл c Земли-2, находящейся в параллельной вселенной в Мультивселенной DC Comics. Её двоюродным братом также является Супермен — Кал-Л, двойник Кларка Кента с докризисной Земли-2. Перед гибелью Криптона, её родной планеты, родители Кары отправили её на космическом корабле в направлении Земли, что позволило ей спастись, как и её кузену. И хотя она покинула планету одновременно с Суперменом, её кораблю потребовалось больше времени, чтобы достигнуть Земли-2, из-за этого она появляется на Земле гораздо позже него. Как и все криптонцы, она обладает сверхчеловеческой силой, не сравнимой с человеческой, и умеет летать, является членом Лиги справедливости Америки и первым её председателем. У неё спортивное телосложение, светлые волосы, классическая прическа — каре, одевается в отличительный бело-красно-синий костюм, у неё агрессивный стиль ведения боя. На протяжении всех выпусков All Star Comics, где состоялось её первое появление, она часто конфликтует с Диким Котом (персонажем комиксов DC), который относится к ней поначалу довольно пренебрежительно. В ограниченных выпусках серии «Кризис на Бесконечных Землях» (англ. Crisis on Infinite Earths) 1985 года по сюжету была уничтожена Земля-2, в результате чего её биографию, как и биографии многих выживших после этих событий, изменили, криптонское происхождение было скрыто и она стала внучкой колдуна Ариона, жившего в Атлантиде. Однако в ходе событий, описанных в выпусках ограниченной серии «Бесконечный Кризис» (англ. Infinite Crisis) 2005—2006 годов, восстановлен её статус беженца с Криптона, разрушенного во вселенной докризисной Земли-2.",В каком году появилось первое появление персонажа комиксов?,в феврале 1976 года,0
11,"Мамедова (Ибpагимбейли) Сона Ибpагим кызы (1918-1991) — врач и специалист в области особо опасных инфекций, Заслуженный врач Азербайджана.",В каком году была удостоена звания доктор наук?,в 1991 году,0
12,"Дар-уль-Ама́н (دارالامان с пушту — «Обитель мира», либо «Ворота в спокойствие»; также — Дар уль-Аман, Даруламан и Дарул Аман) — неоклассический дворец, построенный в 1927 году по проекту архитекторов из Германии и Франции на возвышенности в юго-западной части Кабула. В ходе гражданской войны в Афганистане значительно пострадал, вследствие чего в 2016—2019 годах находился на реконструкции.",Как переводится название города Кабул?,Обитель мира,0
13,"Имперáтор (лат. imperator — повелитель, хозяин, полководец) — древнеримский почётный воинский титул, наиболее распространённый в период Поздней республики. Почётный титул появился в период Второй Пунической войны, первым императором стал Публий Корнелий Сципион Африканский. Как правило, солдаты называли своего полководца императором после победы в крупном сражении. Полководец-император получал право на триумф и на использование титула в своём полном имени. Никаких изменений правового статуса он не давал. Тем не менее титул императора и триумф были максимальным возможным достижением для римских военачальников. Октавиан Август первым начал использовать этот титул перед своим именем, а не после него, как было принято. Последним императором-не принцепсом был Квинт Юний Блез. После 22 года н. э. титул императора стал прерогативой исключительно императоров в традиционном понимании слова, а позднее его стали принимать и претенденты на правление в Риме. В результате, основным значением термина стало политическое обозначение верховного правителя.","Как называли римляне полководца, одержавшего победу в сражении?",Победоносный военачальник назывался в Риме «магистр».,1
14,Фильмы Макса Линдера — короткометражные киноленты эпохи немого кинематографа французской студии Pathé с участием актёра-комика Макса Линдера. В создании более половины из них он принимал участие в качестве автора сценария и режиссёра. Выпускались с 1905 по 1919 годы. Продолжительность колебалась в интервале 5-20 минут.,Кто был создателем картин?,Картины были созданы группой анонимных художников-любителей.,1
15,"«Продано!» (1989) — альбом Янки Дягилевой, записанный на домашней студии Сергея Фирсова.",В каком году был записан альбом с одноименным названием?,в 1989,0
16,"Хохла́тые тинаму́ (лат. Eudromia) — род птиц семейства тинамовых, в настоящее время состоящий из 2 видов. Все представители рода — птицы среднего размера с пёстрым оперением. Их родиной является Южная Америка.",Где обитают данные птицы?,Южной Америке,0
17,"Take Five ([Тэйк файв], буквально — «возьми пять»; название иногда переводится как «Пять четвертей» или «Держи пять») — джазовая композиция, записанная впервые квартетом Дейва Брубека в 1959 году для альбома Time Out. Композицию сочинил Пол Дезмонд на основе ритма барабанщика Джо Морелло. Написанная в тональности ми-бемоль минор, она известна своим двухаккордным фортепианным вампом, цепляющей блюзовой мелодией саксофона, изощрённым барабанным соло и использованием размера 5/4. Название «Take Five» является фразеологизмом, который обозначает «сделать небольшой перерыв», и при этом очевидно обыгрывает необычный музыкальный размер композиции.",В каком году была записана эта композиция?,в сентябре 1959 года,0
18,Се́льское поселе́ние «О́ймурское» — муниципальное образование в Кабанском районе Бурятии Российской Федерации. Административный центр — село Оймур. Включает 4 населённых пункта.,Сколько населенных пунктов входит в сельское поселение?,4,0
19,"Micronecta decorata  (лат.) — вид мелких водяных клопов рода Micronecta из семейства Гребляки (Corixidae, Micronectinae, или Micronectidae). Юго-Восточная Азия, Индонезия (Суматра, Борнео, Ява), Малайзия, Таиланд Завезён из Азии в США (Флорида).",В какой стране завезли впервые мокрецов?,в США,0
20,"Мисс Интернешнл 1987 (англ. Miss International 1987) — 27-й международный конкурс красоты Мисс Интернешнл, проведённый 13 сентября 1987 года в Токио (Япония), который выиграла Лаури Тамара Симпсон Ривера из Пуэрто-Рико.",В каком городе был проведен первый конкурс красоты среди женщин?,в Токио,0
21,"Б-20 — советская авиационная малокалиберная автоматическая пушка калибра 20 мм. Создана оружейным конструктором М. Е. Березиным во время Великой Отечественной войны путём переделки своего 12,7-миллиметрового пулемёта УБ под патрон 20 мм пушки ШВАК для конкурса, в котором участвовали также конструкции В-20 Владимирова и Ш-20 Шпитального (по другим данным, третьим участником была ША-20 Шпитального).",Чем обладает данная пушка?,калибр 20 мм,0
22,"Ора́нжевая жа́ба (лат. Incilius periglenes) — небольшая жаба, обитавшая в ограниченном районе тропических лесов Коста-Рики (около 30 км в поперечнике). Впервые она была описана в 1966 году, однако после 1989 года её никто не видел. Считается вымершим видом.",Каким считается вид орнитоптер?,вымершим,0
